[2017-05-18T16:59:32,586][INFO ][o.e.n.Node               ] [YRQuCI9] stopping ...
[2017-05-18T16:59:34,125][INFO ][o.e.n.Node               ] [YRQuCI9] stopped
[2017-05-18T16:59:34,125][INFO ][o.e.n.Node               ] [YRQuCI9] closing ...
[2017-05-18T16:59:34,329][INFO ][o.e.n.Node               ] [YRQuCI9] closed
[2017-05-21T17:23:36,990][INFO ][o.e.n.Node               ] [] initializing ...
[2017-05-21T17:23:37,303][INFO ][o.e.e.NodeEnvironment    ] [YRQuCI9] using [1] data paths, mounts [[/ (/dev/disk1)]], net usable_space [348.6gb], net total_space [464.6gb], spins? [unknown], types [hfs]
[2017-05-21T17:23:37,303][INFO ][o.e.e.NodeEnvironment    ] [YRQuCI9] heap size [1.9gb], compressed ordinary object pointers [true]
[2017-05-21T17:23:37,306][INFO ][o.e.n.Node               ] node name [YRQuCI9] derived from node ID [YRQuCI9hTyKeGmFBS7ngGA]; set [node.name] to override
[2017-05-21T17:23:37,306][INFO ][o.e.n.Node               ] version[5.4.0], pid[7462], build[780f8c4/2017-04-28T17:43:27.229Z], OS[Mac OS X/10.12.3/x86_64], JVM[Oracle Corporation/Java HotSpot(TM) 64-Bit Server VM/1.8.0_111/25.111-b14]
[2017-05-21T17:23:40,343][INFO ][o.e.p.PluginsService     ] [YRQuCI9] loaded module [aggs-matrix-stats]
[2017-05-21T17:23:40,344][INFO ][o.e.p.PluginsService     ] [YRQuCI9] loaded module [ingest-common]
[2017-05-21T17:23:40,344][INFO ][o.e.p.PluginsService     ] [YRQuCI9] loaded module [lang-expression]
[2017-05-21T17:23:40,344][INFO ][o.e.p.PluginsService     ] [YRQuCI9] loaded module [lang-groovy]
[2017-05-21T17:23:40,344][INFO ][o.e.p.PluginsService     ] [YRQuCI9] loaded module [lang-mustache]
[2017-05-21T17:23:40,344][INFO ][o.e.p.PluginsService     ] [YRQuCI9] loaded module [lang-painless]
[2017-05-21T17:23:40,344][INFO ][o.e.p.PluginsService     ] [YRQuCI9] loaded module [percolator]
[2017-05-21T17:23:40,345][INFO ][o.e.p.PluginsService     ] [YRQuCI9] loaded module [reindex]
[2017-05-21T17:23:40,345][INFO ][o.e.p.PluginsService     ] [YRQuCI9] loaded module [transport-netty3]
[2017-05-21T17:23:40,345][INFO ][o.e.p.PluginsService     ] [YRQuCI9] loaded module [transport-netty4]
[2017-05-21T17:23:40,346][INFO ][o.e.p.PluginsService     ] [YRQuCI9] no plugins loaded
